"Internet users, total number",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,0,,,,,,,,,,,1118,1124,22569,28244,338045,598865,553771,549056,1085510,1256470,
Albania,0,,,,,351,1002,1502,2002,2502,3505,10026,12053,30194,75634,189887,303350,476594,759081,1315402,1441928,
Algeria,0,,,,100,500,500,3003,6006,60055,150137,200180,500441,700615,1501387,1921982,2462986,3204578,3504773,3924904,4433526,
American Samoa,0,,,,,,,,,,,,,,,,,,,,,
Andorra,0,,,,,,996,1980,4424,4886,6812,,7775,9781,20207,29290,39088,57681,57837,65712,68740,
Angola,0,,,,,,97,726,2424,9723,14629,19570,40260,57159,74173,188530,324498,560812,829746,1113307,1908191,
Antigua and Barbuda,0,,,,,1511,2014,2517,3021,4028,5034,7045,10063,14079,20102,29133,53213,60206,65187,65149,70968,
Argentina,0,,1004,10034,15044,30072,50092,100123,300195,1200184,2599436,3648448,4097919,4527354,6148589,6854530,8166600,10214688,11164731,13621240,14548455,
Armenia,0,,,,300,1700,3000,3500,4000,30002,40004,50006,60009,140027,150038,161054,172887,185104,191211,472002,1360512,
Aruba,0,,,,,,2300,,,3985,13940,15794,17784,20150,22781,25653,28759,32206,36090,40193,45145,
Australia,100029,190043,310055,350047,400033,500006,600014,3032449,5772823,7727668,8960506,10212333,,,,12854218,13691235,14667832,15418953,16262458,16923972,
Austria,10000,20000,50000,60000,110000,150000,550001,760006,1230014,1840018,2700000,3149915,2955166,3473318,4443118,4774674,5261760,5764496,6078674,6147500,6102179,
Azerbaijan,0,,,,110,160,499,1993,2990,7977,11984,25030,413989,,,689641,1043526,1282575,1527567,2484249,4226380,
Bahamas,0,,,,,2686,4956,3915,6787,11067,23812,35590,55044,62040,69243,79840,84257,88792,105237,114636,147437,
Bahrain,0,,,,,1936,4848,9762,19671,29586,39273,96625,115898,139496,144151,154411,229174,304659,546701,619876,694009,
Bangladesh,0,,,,,,,919,4599,46014,92062,171275,187866,223717,275931,339713,1423535,2591222,3636958,4557934,5501609,
Barbados,0,,,,,20,1029,2077,5240,6339,10630,32013,74828,106919,134434,151673,170769,175737,181000,187379,191878,
Belarus,0,,,,50,300,3001,5002,7503,50020,187115,430483,891820,,,,1583845,1916461,2226559,2643159,3041748,
Belgium,100,2003,10009,20009,70000,99958,299756,499407,798809,1397655,2994876,3194941,4750690,5148463,5578276,6228738,6722851,7300198,6997430,7462657,8034050,
Belize,0,,,,,100,1999,2995,4987,9966,14940,,14931,,15924,25876,29856,31833,33844,35823,43628,
Benin,0,,,,,,99,1476,2947,9805,14681,24427,48770,68162,87484,97027,121055,145215,154586,192680,277002,
Bermuda,0,,,,,4199,9997,14995,19993,24989,26987,29984,32982,35979,38976,41971,44965,47958,53213,53948,54687,
Bhutan,0,,,,,,,,,764,2290,5084,10156,15217,20280,25364,30484,40764,45939,51170,98728,
Bolivia,0,,,,,4991,14976,34951,49939,79908,119854,179745,269533,309315,398835,478149,577075,993596,1041680,1397602,1985970,
Bosnia and Herzegovina,0,,,,,,500,2000,5000,7000,40001,45000,99995,149986,584937,806363,950025,1055106,1308125,1421924,1955277,
Botswana,0,0,,,,1023,2557,5110,10214,19397,51027,61222,61221,61221,61215,61195,81548,101774,122176,121867,120417,
Brazil,0,5003,20013,40029,60050,170164,740838,1311724,2503664,3505320,5007204,8009872,16403934,23989345,35071405,39099569,52963579,58609644,64799077,75791320,79245740,
Brunei,0,,,,,2946,9817,14721,19622,24521,29421,43190,52365,68342,105771,132418,156223,168673,176960,192000,199460,
Bulgaria,0,,,200,1650,10000,60000,100000,150001,234602,430005,605007,716654,943950,1412178,1545501,2083091,2570191,3011477,3394203,3464630,
Burkina Faso,0,,,,,,106,2112,5279,7384,9476,19951,26160,50025,55200,66721,92516,112958,142740,180625,230562,
Burundi,0,0,0,0,0,0,49,493,986,2463,4924,6890,7869,13765,24572,39313,49151,53954,64341,155246,176040,
Cambodia,0,,,,,,,686,1957,3908,5853,9738,29157,33937,39639,42386,63303,66982,70495,74083,178142,
Cameroon,0,,,,,,,990,1979,19778,39528,44438,59212,98623,167546,246216,364127,537656,637798,736321,783956,
Canada,100000,160003,260012,340022,690036,1220000,1999829,4499135,7497596,10994824,15732358,18642276,19267448,20292697,21068712,23134294,23622656,24139408,25562541,27041385,27757540,
Cape Verde,0,,,,,,,995,1991,4980,7968,11952,15931,19896,24827,28723,32565,40010,97474,122905,148800,
Cayman Islands,0,,,0,0,1295,,,,,,,,,,19880,23902,28433,33730,35967,37112,
Central African Rep.,0,,,,,,199,497,992,1485,1976,2959,4922,5896,8829,10776,12719,15637,42380,77726,101224,
Chad,0,,,,,,,49,328,979,2936,3913,14666,29321,34196,39071,58593,87873,126780,164056,190863,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,0,,4999,9999,19999,49998,99998,156873,249999,625015,2559690,2980402,3488262,4065562,4545719,5082120,5681323,5971338,6264756,6578826,7701160,
China,0,,,2005,14035,60150,160399,401000,2105102,8919464,22538412,33732186,59097715,80190593,94940306,111449554,138335407,211437110,300190268,385788649,460077957,
Colombia,0,,,,38366,68549,122478,207960,432911,663858,877807,1153742,1889594,3083539,3865022,4737588,6703781,9668807,11521480,13696213,16897617,
Comoros,0,,,,,,,0,202,812,1528,2559,3291,5168,8307,20860,21992,23231,24264,25728,37472,
"Congo, Dem. Rep.",0,,,,,,49,98,196,489,2929,5851,48707,72987,109396,136683,174933,224857,274890,359544,474954,
"Congo, Rep.",0,,,,,,99,100,102,513,826,1035,5172,15480,37128,51705,72861,102954,164483,177365,202145,
Costa Rica,0,,36,2693,9474,14459,29917,59840,99738,149594,227322,382661,812346,845967,880680,951087,1099837,1264541,1460194,1576018,1700494,
Cote d'Ivoire,0,,,,,29,1269,2917,9682,19278,38380,66853,85547,132430,150593,187281,279453,335642,379740,445051,513183,
Croatia,0,,,4500,12500,24000,40000,80001,150003,200005,299387,518011,793164,1013874,1375347,1472074,1683954,1834132,2235704,2481993,2656089,
Cuba,0,,,,,10,3498,7499,25008,34831,60095,120286,421379,587443,944635,1095945,1257143,1317310,1457938,1613935,1790019,
Cyprus,0,,401,462,930,3508,5880,39000,80731,104974,143903,180939,277500,300339,343647,338784,375596,433396,455679,543165,584863,
Czech Rep.,0,,,59992,129984,149999,200053,300200,400449,701068,1001809,1502889,2443133,3498369,3621591,3604819,4917041,5355814,6534623,6726321,7220732,
Denmark,5001,10004,20011,30023,70066,200211,300335,600694,1201364,1627646,2091612,2300829,3450551,4106210,4370447,4484048,4716051,4650401,4673815,4797801,4924086,
Djibouti,0,,,,,100,201,552,652,753,1424,2575,3727,4880,6202,7709,10461,13599,19337,34884,57767,
Dominica,0,,,,,392,830,,2060,2053,6141,9198,12769,16345,20947,26566,27067,27561,28054,28541,32151,
Dominican Rep.,0,,,,,1364,6040,11687,19473,93441,318306,386520,604634,710492,809422,1063834,1395169,1683343,2012242,2715687,3924270,
Ecuador,0,,549,1796,3892,4990,9981,12977,14982,100025,180508,335195,543994,579294,638575,804813,982059,1495770,2642667,3508345,4194774,
Egypt,0,,,586,3896,19438,38798,58088,96649,193022,433806,577933,1908750,2887025,3752003,8680588,9485957,12349122,14106026,19355094,21691776,
El Salvador,0,,,,,,5003,15004,24997,49974,69941,89490,113776,150213,192921,254122,334097,372763,617867,746027,984686,
Equatorial Guinea,0,,,,,,,196,461,491,689,888,1781,2977,4977,6988,8005,10027,12054,14508,42024,
Eritrea,0,,,0,0,0,0,301,301,902,5014,6017,9025,30081,50137,80233,100321,120437,200869,,283699,
Estonia,0,,1000,4503,17014,40037,50047,80070,150110,200107,391718,429664,563279,612706,717375,827029,853599,888848,947286,972681,993785,
Ethiopia,0,,,,,10,1001,3004,6008,8010,10010,25012,49987,74898,112659,163128,236030,287558,357509,438414,622122,
Faeroe Islands,0,,,,,0,1007,2013,5029,10050,15057,20048,25021,27967,31880,32768,33622,36905,36725,36556,36628,
Fiji,0,,,50,61,71,506,1772,5070,7605,12150,15138,50226,54970,60720,69536,79493,91026,102925,114637,127544,
Finland,20000,70000,95000,130000,250000,710000,860009,1000032,1311066,1667071,1927001,2235091,3244678,3606774,3783150,3905986,4194845,4273610,4448177,4406241,4661254,
France,29929,79803,159587,339088,518584,947462,1500227,2479409,3696826,5361268,8448514,15635144,18039953,21750456,23723605,26149202,28767899,40807003,43891158,44697966,50292729,
French Polynesia,0,,,,,,200,482,3016,8054,15107,15094,20091,35079,45001,54905,64808,74719,89600,119388,132674,
Gabon,0,,,,,,0,551,2004,3005,15023,17023,25030,35040,40044,67073,76695,82101,90064,98993,108845,
Gambia,0,,,,,104,411,611,2525,9021,11956,17855,24724,34549,48313,57125,81041,98744,112564,128316,159012,
Georgia,0,,,,,600,2000,3001,5001,20006,23005,46495,73456,116935,175642,272178,334406,364758,439841,877788,1170754,
Germany,99578,199348,349460,375202,751827,1505648,2511060,5524971,8134458,17164904,24882867,26075391,40243315,46108618,53418007,56713742,59558077,62019249,64330711,65100238,67488021,
Ghana,0,,,,,59,985,4917,5894,19632,29441,39266,167006,245900,362586,396268,603743,874428,993380,1296047,2329419,
Gibraltar,0,,,,,,,725,1137,1616,5232,5846,6625,8047,9469,11360,13244,15120,16986,19038,19009,
Greece,0,4999,4999,19993,39989,79998,150066,200221,350683,752212,1004073,1206395,1624458,1977771,2387743,2683947,3618224,4038551,4313470,4802477,5043550,
Greenland,0,,,,36,30,1000,4434,8187,12102,17841,20000,25000,30999,31999,33001,34002,35003,36007,36004,36096,
Grenada,0,0,0,0,0,0,300,1001,1503,2507,4126,5217,15047,19054,20051,21048,22046,23041,24043,25035,34961,
